iter	Passed	Remaining
576	3676	2695
577	3678	2686
578	3681	2676
579	3683	2667
580	3686	2658
581	3689	2650
582	3693	2641
583	3695	2632
584	3701	2625
585	3704	2616
586	3706	2607
587	3709	2599
588	3712	2590
589	3719	2584
590	3722	2576
591	3725	2567
592	3727	2558
593	3734	2552
594	3778	2571
595	3782	2564
596	3785	2555
597	3788	2546
598	3791	2537
599	3793	2529
600	3796	2520
601	3799	2511
602	3803	2504
603	3810	2498
604	3813	2489
605	3816	2481
606	3818	2472
607	3820	2463
608	3834	2461
609	3836	2453
610	3841	2445
611	3843	2436
612	3846	2428
613	3848	2419
614	3851	2410
615	3856	2404
616	3858	2395
617	3866	2390
618	3873	2383
619	3875	2375
620	3888	2372
621	3890	2364
622	3892	2355
623	3895	2347
624	3898	2338
625	3903	2332
626	3905	2323
627	3908	2315
628	3911	2306
629	3913	2298
630	3916	2290
631	3919	2281
632	3921	2273
633	3924	2265
634	3990	2293
635	4007	2293
636	4010	2285
637	4013	2277
638	4015	2268
639	4018	2260
640	4020	2251
641	4031	2248
642	4034	2239
643	4049	2238
644	4052	2230
645	4054	2221
646	4062	2216
647	4066	2208
648	4070	2201
649	4078	2195
650	4080	2187
651	4083	2179
652	4086	2171
653	4089	2163
654	4092	2155
655	4094	2147
656	4125	2153
657	4128	2145
658	4134	2139
659	4137	2131
660	4139	2123
661	4142	2115
662	4148	2108
663	4151	2100
664	4157	2094
665	4166	2089
666	4168	2081
667	4187	2081
668	4189	2072
669	4192	2064
670	4195	2057
671	4197	2048
672	4200	2040
673	4202	2032
674	4205	2024
675	4208	2017
676	4211	2009
677	4213	2001
678	4218	1994
679	4222	1987
680	4225	1979
681	4228	1971
682	4231	1963
683	4233	1955
684	4236	1948
685	4242	1942
686	4252	1937
687	4279	1940
688	4289	1936
689	4310	1936
690	4314	1929
691	4324	1924
692	4332	1919
693	4339	1913
694	4342	1905
695	4346	1898
696	4357	1894
697	4361	1887
698	4364	1879
699	4377	1875
700	4387	1871
701	4390	1863
702	4400	1859
703	4404	1851
704	4407	1844
705	4410	1836
706	4420	1832
707	4424	1824
708	4427	1817
709	4436	1812
710	4439	1804
711	4442	1797
712	4450	1791
713	4453	1783
714	4456	1776
715	4458	1768
716	4465	1762
717	4468	1754
718	4470	1747
719	4472	1739
720	4475	1731
721	4483	1726
722	4485	1718
723	4488	1711
724	4490	1703
725	4515	1704
726	4518	1696
727	4520	1689
728	4523	1681
729	4526	1674
730	4531	1667
731	4538	1661
732	4541	1654
733	4543	1646
734	4546	1639
735	4553	1633
736	4556	1626
737	4559	1618
738	4561	1610
739	4567	1604
740	4570	1597
741	4574	1590
742	4576	1582
743	4578	1575
744	4585	1569
745	4588	1562
746	4590	1554
747	4593	1547
748	4607	1544
749	4610	1536
750	4618	1531
751	4621	1524
752	4623	1516
753	4626	1509
754	4633	1503
755	4635	1496
756	4638	1488
757	4640	1481
758	4647	1475
759	4650	1468
760	4654	1461
761	4656	1454
762	4664	1448
763	4666	1441
764	4669	1434
765	4671	1427
766	4690	1424
767	4695	1418
768	4698	1411
769	4700	1404
770	4703	1396
771	4713	1391
772	4715	1384
773	4722	1378
774	4725	1371
775	4728	1364
776	4730	1357
777	4738	1351
778	4740	1344
779	4743	1337
780	4745	1330
781	4752	1324
782	4755	1317
783	4759	1311
784	4761	1304
785	4771	1299
786	4774	1292
787	4776	1285
788	4779	1278
789	4784	1271
790	4787	1264
791	4801	1261
792	4804	1254
793	4807	1247
794	4814	1241
795	4817	1234
796	4820	1227
797	4823	1221
798	4830	1215
799	4833	1208
800	4836	1201
801	4838	1194
802	4846	1188
803	4849	1182
804	4852	1175
805	4855	1168
806	4859	1162
807	4862	1155
808	4865	1148
809	4867	1141
810	4869	1134
811	4871	1127
812	4880	1122
813	4882	1115
814	4884	1108
815	4887	1102
816	4898	1097
817	4901	1090
818	4903	1083
819	4914	1078
820	4917	1072
821	4925	1066
822	4927	1059
823	4930	1053
824	4937	1047
825	4959	1044
826	4961	1037
827	4964	1031
828	4971	1025
829	4973	1018
830	4976	1011
831	4979	1005
832	4986	999
833	4989	993
834	4992	986
835	4994	979
836	5000	973
837	5003	967
838	5016	962
839	5023	956
840	5026	950
841	5034	944
842	5037	938
843	5040	931
844	5042	925
845	5049	919
846	5052	912
847	5055	906
848	5058	899
849	5067	894
850	5070	887
851	5073	881
852	5081	875
853	5083	869
854	5087	862
855	5090	856
856	5102	851
857	5104	844
858	5110	838
859	5113	832
860	5116	826
861	5119	819
862	5132	814
863	5135	808
864	5144	802
865	5148	796
866	5153	790
867	5162	785
868	5165	778
869	5168	772
870	5175	766
871	5179	760
872	5182	753
873	5185	747
874	5192	741
875	5195	735
876	5198	729
877	5200	722
878	5204	716
879	5207	710
880	5210	703
881	5216	697
882	5221	691
883	5228	686
